placa,marca,modelo,anio,color,clase,fecha_matricula,anio_matricula,servicio,fecha_caducidad,polarizado
ABA4135,HYUNDAI,TUCSON IX 5P 4X2 2.0 TM STD,2011,PLOMO,VEHICULO UTILITARIO,16-10-2020,2020,USO PARTICULAR,15-10-2025,No existe registro de polarizado
GGZ0529,CHEVROLET,CAPRICE,1979,AZUL,AUTOMOVIL,10-12-2002,2002,USO PARTICULAR,31-12-2002,No existe registro de polarizado
GLX0111,MITSUBISHI,CANTER 6.0 TON,2002,BLANCO,CAMION,20-03-2025,2025,USO PARTICULAR,28-02-2030,No existe registro de polarizado
GLX0112,CHEVROLET,TAHOE 4X4 T/A,2002,AZUL,VEHICULO ESPECIAL,13-04-2023,2023,USO PARTICULAR,11-04-2028,No existe registro de polarizado
GQJ0477,CHEVROLET,AVEO EMOTION 1.6L GLS,2008,PLOMO,AUTOMOVIL,05-02-2025,2025,USO PARTICULAR,05-02-2030,No existe registro de polarizado
GQJ0478,CHEVROLET,AVEO ACTIVO 1.4L 4P AC,2008,PLATEADO,AUTOMOVIL,07-04-2022,2022,USO PARTICULAR,30-09-2027,No existe registro de polarizado
GQJ0479,CHEVROLET,AVEO ACTIVO 1.4L 5P AC,2008,AZUL,AUTOMOVIL,09-09-2020,2020,USO PARTICULAR,31-10-2025,No existe registro de polarizado
GQJ0480,CHEVROLET,SPARK 5P A/C 1.0L ACTIVO,2008,PLOMO,AUTOMOVIL,29-11-2022,2022,USO PARTICULAR,30-11-2027,No existe registro de polarizado
GQJ0481,CHEVROLET,SPARK 5P STD 1.0L ACTIVO,2007,ROJO,AUTOMOVIL,27-01-2023,2023,USO PARTICULAR,26-01-2028,No existe registro de polarizado
GQJ0482,CHEVROLET,LUV D-MAX C/D V6 4X4 T/M GLS,2008,PLOMO,CAMIONETA,04-04-2022,2022,USO PARTICULAR,31-03-2027,No existe registro de polarizado
GQJ0483,CHEVROLET,LUV D-MAX C/D V6 4X2 T/M,2008,PLOMO,CAMIONETA,06-05-2019,2019,USO PARTICULAR,04-05-2024,No existe registro de polarizado
GQJ0484,RENAULT,LOGAN 1.6 M/T,2008,PLOMO,AUTOMOVIL,30-08-2022,2022,USO PARTICULAR,29-08-2027,No existe registro de polarizado
GQJ0485,MAZDA,BT-50 2.6 CD ACTION 4X4,2008,PLATEADO,CAMIONETA,07-04-2021,2021,PARTICULAR,06-04-2026,No existe registro de polarizado
GTO8710,SUZUKI,SCROSS BOOSTERJET GL AC 1.4 5P 4X2 TA,2024,PLATEADO,VEHICULO UTILITARIO,29-08-2023,2023,USO PARTICULAR,27-08-2028,No existe registro de polarizado
GTO8711,SUZUKI,SWIFT ISG GLS AC 1.2 5P 4X2 TM HYBRID,2024,PLOMO,AUTOMOVIL,29-08-2023,2023,USO PARTICULAR,27-08-2028,No existe registro de polarizado
GTO8712,SUZUKI,SCROSS BOOSTERJET GL AC 1.4 5P 4X2 TA,2024,PLATEADO,VEHICULO UTILITARIO,29-08-2023,2023,USO PARTICULAR,27-08-2028,No existe registro de polarizado
GTO8713,SUZUKI,GRAND VITARA ISG GLX AC 1.5 5P 4X2 TA HYBRID,2024,BLANCO,VEHICULO UTILITARIO,29-08-2023,2023,USO PARTICULAR,27-08-2028,No existe registro de polarizado
GTO8714,SUZUKI,GRAND VITARA ISG GLX AC 1.5 5P 4X2 TM HYBRID,2024,PLATEADO,VEHICULO UTILITARIO,30-08-2023,2023,USO PARTICULAR,28-08-2028,No existe registro de polarizado
GTO8715,SUZUKI,S-CROSS BOOSTERJET GLX AC 1.4 5P 4X4 TA,2024,PLOMO,VEHICULO UTILITARIO,30-08-2023,2023,USO PARTICULAR,28-08-2028,No existe registro de polarizado
GTO8716,SUZUKI,VITARA GL PLUS AC 1.6 5P 4X2 TA,2023,PLOMO,VEHICULO UTILITARIO,31-08-2023,2023,USO PARTICULAR,29-08-2028,No existe registro de polarizado
GTO8717,SUZUKI,VITARA GL PLUS AC 1.6 5P 4X2 TM,2024,PLATEADO,VEHICULO UTILITARIO,31-08-2023,2023,USO PARTICULAR,29-08-2028,No existe registro de polarizado
GTO8718,SUZUKI,SWIFT ISG GLS AC 1.2 5P 4X2 TM HYBRID,2024,PLATEADO,AUTOMOVIL,31-08-2023,2023,USO PARTICULAR,29-08-2028,No existe registro de polarizado
GTO8719,SUZUKI,SCROSS BOOSTERJET GL AC 1.4 5P 4X2 TA,2024,PLATEADO,VEHICULO UTILITARIO,01-09-2023,2023,USO PARTICULAR,30-08-2028,No existe registro de polarizado
GTO8720,SUZUKI,GRAND VITARA ISG GLX AC 1.5 5P 4X2 TM HYBRID,2024,CAFE,VEHICULO UTILITARIO,01-09-2023,2023,USO PARTICULAR,30-08-2028,No existe registro de polarizado
GUZ0461,RANGER,110GM,2009,NEGRO,MOTOCICLETA,27-04-2010,2010,USO PARTICULAR,31-01-2014,No existe registro de polarizado
GUZ0465,SUZUKI,GN125,2008,ROJO,MOTOCICLETA,27-04-2010,2010,USO PARTICULAR,31-01-2014,No existe registro de polarizado
GUZ0469,LIFAN,LF150-9J,2009,ROJO,MOTOCICLETA,12-08-2013,2013,USO PARTICULAR,31-12-2014,No existe registro de polarizado
OBH0659,FORD,COURIER,1978,AZUL,CAMIONETA,09-09-2010,2010,USO PARTICULAR,08-09-2015,No existe registro de polarizado
PDI6591,CHEVROLET,D-MAX CRDI 3.0 CD 4X4 TM DIESEL,2019,VINO,VEHICULO ESPECIAL,06-03-2025,2025,USO PARTICULAR,05-03-2030,No existe registro de polarizado
